Gameno,Group,TeamId,Continent,Opponent,Score,Win,Ranking202306,Formation,Position,Best,PassesAttempted,PassesCompleted,PassesCompletedPct,SwitchesOfPlay,CrossesAttempted,CrossesCompleted,LineBreaksAttempted,LineBreaksCompleted,LineBreaksCompletedPct,Ballprogressins,Takeone,StepIns,AttemptsatGoal,Goals,TotalOffers,InFront,InBetween,OutToIn,IntoOut,InBehind,NoMovement,OffersReceived,TacklesMade,TacklesWon,Blocks,Interceptions,PressingDirect,PressingIndirect,DuelsWonAerial,DuelsWonPhysical,PossessionContestsWon,Clearances,LooseBallReceptions,PushingOn,PushingOnIntoPressing,PossessionRegains,PossessionInterrupted,TotalDistance_m,WalkingDistance,JoggingDistance,RunningDistance,VeryHighSpeedDistance,MaxSprintDistance,HighSpeedRunCount,TopSpeedSprintCount,TopSpeed,TeamScore,Defenders,Midfielders,Forwards,TacklesWonPct,CrossesCompletedPct
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,STARTING,22,18,0.82,0,9,1,12,8,0.66,0,0,0,2,0,16,6,3,0,0,7,0,4,6,0,2,2,8,8,6,0,8,4,6,18,4,8,8,10773.4,4052.9,3590.8,2341.1,551.6,237,183,40,27.1,1,4,4,2,0,11.11111111
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,STARTING,48,28,0.58,0,3,1,24,13,0.54,1,1,0,1,0,22,12,1,0,0,0,9,11,8,3,5,2,10,6,3,0,3,6,11,21,10,11,6,10125.9,4034.1,3246.4,2289.5,345.3,210.6,172,35,28.2,1,4,4,2,37.5,33.33333333
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,STARTING,34,26,0.76,0,1,0,12,7,0.58,2,0,2,2,0,41,25,9,1,1,2,3,14,5,1,6,0,10,6,6,0,6,5,16,10,4,7,9,10799.6,3897.6,4011,2262.5,459,169.6,183,32,28.7,1,4,4,2,20,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,STARTING,37,29,0.78,0,1,0,13,8,0.61,2,0,2,0,0,20,10,0,0,0,2,8,9,6,0,3,3,9,12,0,0,1,4,6,23,11,3,7,10038.5,3511.5,3625.9,2172.3,507.9,220.8,165,41,28.8,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,STARTING,30,23,0.77,0,2,0,13,10,0.76,5,1,4,0,0,31,5,8,3,3,6,6,9,6,3,4,0,9,21,2,0,2,0,8,25,13,6,3,11658.9,3277.3,4114.4,3261,861.6,144.6,268,60,28.5,1,4,4,2,50,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,STARTING,39,29,0.74,0,0,0,13,6,0.46,1,0,1,0,0,10,3,0,1,0,0,6,5,2,0,3,0,1,2,2,0,2,10,9,2,0,3,12,6224.7,2349.2,2595.7,970.4,262.1,46.7,89,16,26.5,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,STARTING,39,32,0.82,0,0,0,17,11,0.64,2,0,2,0,0,15,2,2,0,1,1,9,7,1,1,3,1,0,1,1,0,2,14,7,6,0,10,8,9280.5,3990.6,2591.1,2129,412.1,157.8,169,31,26.5,1,4,4,2,100,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,STARTING,23,13,0.57,0,1,1,4,1,0.25,2,1,1,1,0,35,6,12,0,1,11,5,11,3,0,1,0,3,20,0,0,1,1,13,19,8,0,3,10364.2,3156.9,3976.7,2219,759.7,252.9,196,59,30.1,1,4,4,2,0,100
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,STARTING,16,12,0.75,1,2,0,0,0,0,2,1,1,4,1,44,3,17,2,3,19,0,17,0,0,1,0,3,9,4,0,4,0,2,13,4,0,0,8781.7,3503,3075.3,1387.5,375.9,440,135,42,30.9,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,STARTING,12,11,0.92,0,3,0,8,6,0.75,7,3,4,1,0,33,7,4,1,2,10,9,8,9,3,2,1,16,20,1,0,1,4,7,19,12,9,4,10185.8,3566.1,3578.3,2395.7,495,150.8,193,34,30,1,4,4,2,33.33333333,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,GK,STARTING,28,19,0.68,0,0,0,10,4,0.4,0,0,0,0,0,10,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4434.1,3083,1164.4,180.9,5.8,0,28,1,20.9,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,GK,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,Substitutions,4,1,0.25,0,0,0,4,1,0.25,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,1,0,1,3,1,0,1,3,0,2,2,4,3,2801.5,1145.8,1052.8,525.3,77.3,0,46,8,22.7,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,Substitutions,4,1,0.25,0,0,0,4,1,0.25,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,3,1,0,2,950.8,158.6,397.4,301.3,93.6,0,26,8,22.6,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,FW,Substitutions,5,3,0.6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,0,1567.2,550.4,392.6,351.2,119.4,153.4,31,15,29.7,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,MF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
1,A,NEWZELAND,UEFA,NORWAY,1?€0,WIN,26,4_4_2,DF,Substitutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0,0
